user_id,subscription_id,monthly_revenue,join_date,lmp,country_id,age,gender_id,device_id
1,1,10,2022-01-15 00:00:00,2023-06-10 00:00:00,1,28,1,1
2,2,15,2021-09-05 00:00:00,2023-06-22 00:00:00,2,35,2,2
3,3,12,2023-02-28 00:00:00,2023-06-27 00:00:00,3,42,1,3
4,3,12,2022-07-10 00:00:00,2023-06-26 00:00:00,4,51,2,4
5,1,10,2023-05-01 00:00:00,2023-06-28 00:00:00,5,33,1,1
6,2,15,2022-03-18 00:00:00,2023-06-27 00:00:00,6,29,2,3
7,3,12,2021-12-09 00:00:00,2023-06-25 00:00:00,7,46,1,2
8,1,10,2023-04-02 00:00:00,2023-06-24 00:00:00,8,39,2,4
9,3,12,2022-10-20 00:00:00,2023-06-23 00:00:00,9,37,1,1
10,2,15,2023-01-07 00:00:00,2023-06-22 00:00:00,10,44,2,3
11,1,10,2022-05-16 00:00:00,2023-06-22 00:00:00,1,31,2,1
12,2,15,2023-03-23 00:00:00,2023-06-28 00:00:00,2,45,1,2
13,3,12,2021-11-30 00:00:00,2023-06-27 00:00:00,3,48,2,4
14,1,10,2022-08-01 00:00:00,2023-06-26 00:00:00,4,27,1,1
15,3,12,2023-05-09 00:00:00,2023-06-28 00:00:00,5,38,2,3
16,2,15,2022-04-07 00:00:00,2023-06-27 00:00:00,6,36,1,2
17,1,10,2022-01-24 00:00:00,2023-06-25 00:00:00,7,30,2,4
18,3,12,2021-10-18 00:00:00,2023-06-24 00:00:00,8,43,1,1
19,2,15,2023-02-15 00:00:00,2023-06-23 00:00:00,9,32,2,3
20,1,10,2023-05-27 00:00:00,2023-06-22 00:00:00,10,41,1,2
21,2,15,2023-06-10 00:00:00,2023-06-22 00:00:00,1,26,2,4
22,1,10,2022-07-22 00:00:00,2023-06-28 00:00:00,2,34,1,1
23,3,12,2021-12-05 00:00:00,2023-06-27 00:00:00,3,49,2,3
24,3,12,2022-04-03 00:00:00,2023-06-26 00:00:00,4,31,1,2
25,1,10,2023-03-14 00:00:00,2023-06-28 00:00:00,5,40,2,4
26,2,15,2022-01-12 00:00:00,2023-06-27 00:00:00,6,29,1,1
27,1,10,2022-08-29 00:00:00,2023-06-25 00:00:00,7,47,2,3
28,3,12,2021-09-27 00:00:00,2023-06-24 00:00:00,8,33,1,2
29,2,15,2022-12-19 00:00:00,2023-06-23 00:00:00,9,36,2,4
30,1,10,2023-05-17 00:00:00,2023-06-22 00:00:00,10,42,1,1
31,2,15,2023-02-03 00:00:00,2023-06-22 00:00:00,1,28,2,3
32,1,10,2022-07-07 00:00:00,2023-06-28 00:00:00,2,37,1,2
33,3,12,2022-01-21 00:00:00,2023-06-27 00:00:00,3,41,2,4
